Domain Code,Domain,Area Code (M49),Area,Food Group Code,Food Group,Indicator Code,Indicator,Year Code,Year,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2012","2012","6209","Value","mg/cap/d","55","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2013","2013","6209","Value","mg/cap/d","56","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2014","2014","6209","Value","mg/cap/d","60","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2015","2015","6209","Value","mg/cap/d","61","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2016","2016","6209","Value","mg/cap/d","61","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2017","2017","6209","Value","mg/cap/d","62","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2018","2018","6209","Value","mg/cap/d","60","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2019","2019","6209","Value","mg/cap/d","61","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2020","2020","6209","Value","mg/cap/d","64","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4009","Calcium supply","2021","2021","6209","Value","mg/cap/d","57","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2010","2010","6209","Value","mg/cap/d","5.9","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2011","2011","6209","Value","mg/cap/d","6","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2012","2012","6209","Value","mg/cap/d","6.2","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2013","2013","6209","Value","mg/cap/d","6.5","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4010","Iron supply","2014","2014","6209","Value","mg/cap/d","6.5","E","Estimated value",""
